,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
453,CCD78,38.98858252,0.593055123,0.334981754,1.770410227,0.076658827,0.438206352
454,CCD78,114.5851597,0.152669461,0.150499975,1.014415189,0.31038468,0.746205988
455,AP5S1,35.60590469,-0.369348375,0.24268251,-1.521940644,0.128023954,0.537012066
456,ACP7,212.5157435,0.049801055,0.158346067,0.314507686,0.753135479,0.967271856
457,ACP7,2.202737101,0.841073003,1.550851689,0.542329746,0.587591367,0.908194755
458,ACP7,5.682068926,-0.639895295,0.975765365,-0.65578808,0.511960487,0.873293544
459,PO2F1,100.888719,-0.030586958,0.105515136,-0.289882186,0.77190637,0.970667935
460,HS12A,22.75313586,-0.413334397,0.675191692,-0.612173406,0.540423035,0.8852714
461,HS12A,45.03563652,-0.329948025,0.426845503,-0.772991686,0.439527301,0.837198537
462,HS12A,115.6323277,0.119995321,0.894991447,0.134074266,0.893343849,0.988927297
463,GLMP,4.761024472,1.187461425,0.808716642,1.468328169,0.142015103,0.55966492
464,GLMP,115.3799783,-0.29788402,0.146092538,-2.039009139,0.041449115,0.334835962
465,CORO7,178.798489,0.324918909,0.145995216,2.22554491,0.02604468,0.278642598
466,LRWD1,8.70028532,0.182923949,0.417541428,0.438097723,0.661315445,0.935454168
467,RN217,97.82139006,-0.107231616,0.26978209,-0.397474924,0.691017274,0.946972656
468,RRAGC,287.1580074,0.351922137,0.130038665,2.706288455,0.006803992,0.145630945
469,SESN3,254.4015413,0.407503592,0.233931078,1.741981422,0.081511695,0.450102273
470,CCNI2,1489.962455,0.337004209,0.196772782,1.712656622,0.08677573,0.459343597
471,ESTD,141.4982575,0.115325236,0.14740129,0.782389603,0.433985642,0.833304702
472,UB2R2,217.4126313,0.033965268,0.446393124,0.076088242,0.939348895,0.995498338
473,UB2R2,253.9600155,0.106181789,0.225152199,0.471600054,0.637212288,0.927067491
474,ZAR1L,52.08852041,0.031912167,0.364042838,0.087660472,0.930146537,0.995498338
475,AMT3,0.517870001,-0.30936477,1.270838651,-0.243433555,0.807669553,0.977412294
476,DIRA2,15.18473317,0.004154364,0.334362903,0.012424716,0.990086766,0.998211455
