sample_no,heating_rate,tidal_height,time_point,experimental_day,sex,shell_length,average_weight,weight_before,weight_after,weight_loss,weight_loss_percent,osmolality,heart_rate,average_temp,temp_sd
27,M,L,T2,31/08/2020,M,37.5,6.6925,6.715,6.67,0.045,0.006701,1000,0.31914783,,
28,M,L,T1,31/08/2020,F,37.5,6.181,6.232,6.13,0.102,0.016367,923,0.3808793793,,
29,M,L,T1,31/08/2020,F,35.9,5.9545,5.97,5.939,0.031,0.005193,939,,,
30,M,L,T2,31/08/2020,F,35.9,5.7895,5.835,5.744,0.091,0.015596,959,0.156069349,,
31,M,D,,31/08/2020,F,43.5,7.4585,7.606,7.311,0.295,0.038785,990,,,
32,M,D,,31/08/2020,F,37.3,4.6815,4.848,4.515,0.333,0.068688,934,,,
33,C,H,T2_S,01/09/2020,F,36.8,4.6305,4.666,4.595,0.071,0.015216,961,,,
34,C,H,T1_F,01/09/2020,F,40,6.496,6.498,6.494,0.004,0.000616,938,,,
35,C,H,T2_F,01/09/2020,M,43.3,7.4875,7.5,7.475,0.025,0.003333,940,,,
36,C,H,T0_air,01/09/2020,F,35.4,4.558,4.566,4.55,0.016,0.003504,946,,,
37,C,H,T1_S,01/09/2020,F,36.5,4.777,4.808,4.746,0.062,0.012895,960,,,
38,C,L,T2_S,01/09/2020,F,40.9,7.1455,7.164,7.127,0.037,0.005165,952,,,
39,C,L,T0_air,01/09/2020,F,38.9,7.4655,7.469,7.462,0.007,0.000937,946,0.1738149731,,
40,C,L,T1_F,01/09/2020,F,36.8,6.3025,6.319,6.286,0.033,0.005222,977,,,
41,C,L,T2_F,01/09/2020,M,37.7,8.33,8.352,8.308,0.044,0.005268,954,,,
42,C,L,T1_S,01/09/2020,F,42.3,8.6915,8.711,8.672,0.039,0.004477,951,,,
43,C,D,,01/09/2020,M,41.6,9.757,9.926,9.588,0.338,0.034052,1007,,,
44,C,D,,01/09/2020,M,39.3,7.351,7.426,7.276,0.15,0.020199,980,,,
45,S,H,T2,01/09/2020,F,37.1,5.825,5.874,5.776,0.098,0.016684,986,0.2075039936,,
46,S,H,T2,01/09/2020,F,37.6,5.715,5.749,5.681,0.068,0.011828,980,0.3155113283,,
47,S,H,T1,01/09/2020,M,40,6.169,6.235,6.103,0.132,0.021171,991,0.283201983,,
48,S,H,T1,01/09/2020,F,39.4,5.833,5.871,5.795,0.076,0.012945,960,0.238515023,,
49,S,L,T2,01/09/2020,F,38.9,6.5885,6.652,6.525,0.127,0.019092,1005,0.3090905536,,
50,S,L,T1,01/09/2020,M,37.1,5.409,5.438,5.38,0.058,0.010666,966,0.3580820487,,
51,S,L,T1,01/09/2020,F,37.3,7.065,7.136,6.994,0.142,0.019899,1005,0.2625966159,,
52,S,L,T2,01/09/2020,F,35.4,5.7995,5.86,5.739,0.121,0.020648,989,0.2334357575,,
53,S,D,,01/09/2020,F,41.2,7.545,7.964,7.126,0.838,0.105224,1010,,,
54,S,D,,01/09/2020,M,41.9,10.0345,10.195,9.874,0.321,0.031486,923,,,
55,F,H,T1,01/09/2020,F,44.1,8.3395,8.35,8.329,0.021,0.002515,956,0.2596927895,,
56,F,H,T2,01/09/2020,M,38.5,5.7785,5.851,5.706,0.145,0.024782,998,0.2568714409,,
57,F,H,T1,01/09/2020,F,39.3,6.324,6.357,6.291,0.066,0.010382,952,,,
58,F,H,T2,01/09/2020,F,36.2,5.562,5.605,5.519,0.086,0.015343,963,0.2350464121,,
