,diff,lwr,upr,p.adj
F:T0:L-F:T0:H,NA,NA,NA,NA
M:T0:L-F:T0:H,NA,NA,NA,NA
S:T0:L-F:T0:H,NA,NA,NA,NA
C_air:T1:L-F:T0:H,NA,NA,NA,NA
C_water:T1:L-F:T0:H,NA,NA,NA,NA
F:T1:L-F:T0:H,NA,NA,NA,NA
M:T1:L-F:T0:H,NA,NA,NA,NA
S:T1:L-F:T0:H,NA,NA,NA,NA
C_air:T2:L-F:T0:H,NA,NA,NA,NA
C_water:T2:L-F:T0:H,NA,NA,NA,NA
F:T2:L-F:T0:H,NA,NA,NA,NA
M:T2:L-F:T0:H,NA,NA,NA,NA
S:T2:L-F:T0:H,NA,NA,NA,NA
S:T0:H-M:T0:H,NA,NA,NA,NA
C_air:T1:H-M:T0:H,NA,NA,NA,NA
C_water:T1:H-M:T0:H,NA,NA,NA,NA
F:T1:H-M:T0:H,NA,NA,NA,NA
M:T1:H-M:T0:H,NA,NA,NA,NA
S:T1:H-M:T0:H,NA,NA,NA,NA
C_air:T2:H-M:T0:H,NA,NA,NA,NA
C_water:T2:H-M:T0:H,NA,NA,NA,NA
F:T2:H-M:T0:H,NA,NA,NA,NA
M:T2:H-M:T0:H,NA,NA,NA,NA
S:T2:H-M:T0:H,NA,NA,NA,NA
C_air:T0:L-M:T0:H,NA,NA,NA,NA
C_water:T0:L-M:T0:H,NA,NA,NA,NA
F:T0:L-M:T0:H,NA,NA,NA,NA
M:T0:L-M:T0:H,NA,NA,NA,NA
S:T0:L-M:T0:H,NA,NA,NA,NA
C_air:T1:L-M:T0:H,NA,NA,NA,NA
C_water:T1:L-M:T0:H,NA,NA,NA,NA
F:T1:L-M:T0:H,NA,NA,NA,NA
M:T1:L-M:T0:H,NA,NA,NA,NA
S:T1:L-M:T0:H,NA,NA,NA,NA
C_air:T2:L-M:T0:H,NA,NA,NA,NA
C_water:T2:L-M:T0:H,NA,NA,NA,NA
F:T2:L-M:T0:H,NA,NA,NA,NA
M:T2:L-M:T0:H,NA,NA,NA,NA
S:T2:L-M:T0:H,NA,NA,NA,NA
C_air:T1:H-S:T0:H,NA,NA,NA,NA
C_water:T1:H-S:T0:H,NA,NA,NA,NA
F:T1:H-S:T0:H,NA,NA,NA,NA
M:T1:H-S:T0:H,NA,NA,NA,NA
S:T1:H-S:T0:H,NA,NA,NA,NA
C_air:T2:H-S:T0:H,NA,NA,NA,NA
C_water:T2:H-S:T0:H,NA,NA,NA,NA
F:T2:H-S:T0:H,NA,NA,NA,NA
M:T2:H-S:T0:H,NA,NA,NA,NA
S:T2:H-S:T0:H,NA,NA,NA,NA
C_air:T0:L-S:T0:H,NA,NA,NA,NA
C_water:T0:L-S:T0:H,NA,NA,NA,NA
F:T0:L-S:T0:H,NA,NA,NA,NA
M:T0:L-S:T0:H,NA,NA,NA,NA
S:T0:L-S:T0:H,NA,NA,NA,NA
C_air:T1:L-S:T0:H,NA,NA,NA,NA
C_water:T1:L-S:T0:H,NA,NA,NA,NA
F:T1:L-S:T0:H,NA,NA,NA,NA
M:T1:L-S:T0:H,NA,NA,NA,NA
S:T1:L-S:T0:H,NA,NA,NA,NA
C_air:T2:L-S:T0:H,NA,NA,NA,NA
C_water:T2:L-S:T0:H,NA,NA,NA,NA
F:T2:L-S:T0:H,NA,NA,NA,NA
M:T2:L-S:T0:H,NA,NA,NA,NA
S:T2:L-S:T0:H,NA,NA,NA,NA
C_water:T1:H-C_air:T1:H,NA,NA,NA,NA
F:T1:H-C_air:T1:H,NA,NA,NA,NA
M:T1:H-C_air:T1:H,NA,NA,NA,NA
S:T1:H-C_air:T1:H,NA,NA,NA,NA
C_air:T2:H-C_air:T1:H,NA,NA,NA,NA
C_water:T2:H-C_air:T1:H,NA,NA,NA,NA
F:T2:H-C_air:T1:H,NA,NA,NA,NA
M:T2:H-C_air:T1:H,NA,NA,NA,NA
S:T2:H-C_air:T1:H,NA,NA,NA,NA
C_air:T0:L-C_air:T1:H,NA,NA,NA,NA
C_water:T0:L-C_air:T1:H,NA,NA,NA,NA
F:T0:L-C_air:T1:H,NA,NA,NA,NA
M:T0:L-C_air:T1:H,NA,NA,NA,NA
S:T0:L-C_air:T1:H,NA,NA,NA,NA
C_air:T1:L-C_air:T1:H,NA,NA,NA,NA
C_water:T1:L-C_air:T1:H,NA,NA,NA,NA
F:T1:L-C_air:T1:H,NA,NA,NA,NA
M:T1:L-C_air:T1:H,NA,NA,NA,NA
S:T1:L-C_air:T1:H,NA,NA,NA,NA
C_air:T2:L-C_air:T1:H,NA,NA,NA,NA
C_water:T2:L-C_air:T1:H,NA,NA,NA,NA
F:T2:L-C_air:T1:H,NA,NA,NA,NA
M:T2:L-C_air:T1:H,NA,NA,NA,NA
S:T2:L-C_air:T1:H,NA,NA,NA,NA
F:T1:H-C_water:T1:H,NA,NA,NA,NA
M:T1:H-C_water:T1:H,NA,NA,NA,NA
S:T1:H-C_water:T1:H,NA,NA,NA,NA
C_air:T2:H-C_water:T1:H,NA,NA,NA,NA
C_water:T2:H-C_water:T1:H,NA,NA,NA,NA
F:T2:H-C_water:T1:H,NA,NA,NA,NA
M:T2:H-C_water:T1:H,NA,NA,NA,NA
S:T2:H-C_water:T1:H,NA,NA,NA,NA
C_air:T0:L-C_water:T1:H,NA,NA,NA,NA
C_water:T0:L-C_water:T1:H,NA,NA,NA,NA
F:T0:L-C_water:T1:H,NA,NA,NA,NA
M:T0:L-C_water:T1:H,NA,NA,NA,NA
S:T0:L-C_water:T1:H,NA,NA,NA,NA
C_air:T1:L-C_water:T1:H,NA,NA,NA,NA
C_water:T1:L-C_water:T1:H,NA,NA,NA,NA
F:T1:L-C_water:T1:H,NA,NA,NA,NA
M:T1:L-C_water:T1:H,NA,NA,NA,NA
S:T1:L-C_water:T1:H,NA,NA,NA,NA
C_air:T2:L-C_water:T1:H,NA,NA,NA,NA
C_water:T2:L-C_water:T1:H,NA,NA,NA,NA
F:T2:L-C_water:T1:H,NA,NA,NA,NA
M:T2:L-C_water:T1:H,NA,NA,NA,NA
S:T2:L-C_water:T1:H,NA,NA,NA,NA
C_air:T2:H-F:T1:H,NA,NA,NA,NA
C_water:T2:H-F:T1:H,NA,NA,NA,NA
F:T0:L-F:T1:H,NA,NA,NA,NA
M:T0:L-F:T1:H,NA,NA,NA,NA
S:T0:L-F:T1:H,NA,NA,NA,NA
C_air:T1:L-F:T1:H,NA,NA,NA,NA
C_water:T1:L-F:T1:H,NA,NA,NA,NA
C_air:T2:L-F:T1:H,NA,NA,NA,NA
C_water:T2:L-F:T1:H,NA,NA,NA,NA
C_air:T2:H-M:T1:H,NA,NA,NA,NA
C_water:T2:H-M:T1:H,NA,NA,NA,NA
F:T0:L-M:T1:H,NA,NA,NA,NA
M:T0:L-M:T1:H,NA,NA,NA,NA
S:T0:L-M:T1:H,NA,NA,NA,NA
C_air:T1:L-M:T1:H,NA,NA,NA,NA
C_water:T1:L-M:T1:H,NA,NA,NA,NA
C_air:T2:L-M:T1:H,NA,NA,NA,NA
C_water:T2:L-M:T1:H,NA,NA,NA,NA
C_air:T2:H-S:T1:H,NA,NA,NA,NA
C_water:T2:H-S:T1:H,NA,NA,NA,NA
F:T0:L-S:T1:H,NA,NA,NA,NA
M:T0:L-S:T1:H,NA,NA,NA,NA
S:T0:L-S:T1:H,NA,NA,NA,NA
C_air:T1:L-S:T1:H,NA,NA,NA,NA
C_water:T1:L-S:T1:H,NA,NA,NA,NA
C_air:T2:L-S:T1:H,NA,NA,NA,NA
C_water:T2:L-S:T1:H,NA,NA,NA,NA
C_water:T2:H-C_air:T2:H,NA,NA,NA,NA
F:T2:H-C_air:T2:H,NA,NA,NA,NA
M:T2:H-C_air:T2:H,NA,NA,NA,NA
S:T2:H-C_air:T2:H,NA,NA,NA,NA
C_air:T0:L-C_air:T2:H,NA,NA,NA,NA
C_water:T0:L-C_air:T2:H,NA,NA,NA,NA
F:T0:L-C_air:T2:H,NA,NA,NA,NA
M:T0:L-C_air:T2:H,NA,NA,NA,NA
S:T0:L-C_air:T2:H,NA,NA,NA,NA
C_air:T1:L-C_air:T2:H,NA,NA,NA,NA
C_water:T1:L-C_air:T2:H,NA,NA,NA,NA
F:T1:L-C_air:T2:H,NA,NA,NA,NA
M:T1:L-C_air:T2:H,NA,NA,NA,NA
S:T1:L-C_air:T2:H,NA,NA,NA,NA
C_air:T2:L-C_air:T2:H,NA,NA,NA,NA
C_water:T2:L-C_air:T2:H,NA,NA,NA,NA
F:T2:L-C_air:T2:H,NA,NA,NA,NA
M:T2:L-C_air:T2:H,NA,NA,NA,NA
S:T2:L-C_air:T2:H,NA,NA,NA,NA
F:T2:H-C_water:T2:H,NA,NA,NA,NA
M:T2:H-C_water:T2:H,NA,NA,NA,NA
S:T2:H-C_water:T2:H,NA,NA,NA,NA
C_air:T0:L-C_water:T2:H,NA,NA,NA,NA
C_water:T0:L-C_water:T2:H,NA,NA,NA,NA
F:T0:L-C_water:T2:H,NA,NA,NA,NA
M:T0:L-C_water:T2:H,NA,NA,NA,NA
S:T0:L-C_water:T2:H,NA,NA,NA,NA
C_air:T1:L-C_water:T2:H,NA,NA,NA,NA
C_water:T1:L-C_water:T2:H,NA,NA,NA,NA
F:T1:L-C_water:T2:H,NA,NA,NA,NA
M:T1:L-C_water:T2:H,NA,NA,NA,NA
S:T1:L-C_water:T2:H,NA,NA,NA,NA
C_air:T2:L-C_water:T2:H,NA,NA,NA,NA
C_water:T2:L-C_water:T2:H,NA,NA,NA,NA
F:T2:L-C_water:T2:H,NA,NA,NA,NA
M:T2:L-C_water:T2:H,NA,NA,NA,NA
S:T2:L-C_water:T2:H,NA,NA,NA,NA
F:T0:L-F:T2:H,NA,NA,NA,NA
M:T0:L-F:T2:H,NA,NA,NA,NA
S:T0:L-F:T2:H,NA,NA,NA,NA
C_air:T1:L-F:T2:H,NA,NA,NA,NA
C_water:T1:L-F:T2:H,NA,NA,NA,NA
C_air:T2:L-F:T2:H,NA,NA,NA,NA
C_water:T2:L-F:T2:H,NA,NA,NA,NA
F:T0:L-M:T2:H,NA,NA,NA,NA
M:T0:L-M:T2:H,NA,NA,NA,NA
S:T0:L-M:T2:H,NA,NA,NA,NA
C_air:T1:L-M:T2:H,NA,NA,NA,NA
C_water:T1:L-M:T2:H,NA,NA,NA,NA
C_air:T2:L-M:T2:H,NA,NA,NA,NA
C_water:T2:L-M:T2:H,NA,NA,NA,NA
F:T0:L-S:T2:H,NA,NA,NA,NA
M:T0:L-S:T2:H,NA,NA,NA,NA
S:T0:L-S:T2:H,NA,NA,NA,NA
C_air:T1:L-S:T2:H,NA,NA,NA,NA
C_water:T1:L-S:T2:H,NA,NA,NA,NA
C_air:T2:L-S:T2:H,NA,NA,NA,NA
C_water:T2:L-S:T2:H,NA,NA,NA,NA
F:T0:L-C_air:T0:L,NA,NA,NA,NA
M:T0:L-C_air:T0:L,NA,NA,NA,NA
S:T0:L-C_air:T0:L,NA,NA,NA,NA
C_air:T1:L-C_air:T0:L,NA,NA,NA,NA
C_water:T1:L-C_air:T0:L,NA,NA,NA,NA
C_air:T2:L-C_air:T0:L,NA,NA,NA,NA
C_water:T2:L-C_air:T0:L,NA,NA,NA,NA
F:T0:L-C_water:T0:L,NA,NA,NA,NA
M:T0:L-C_water:T0:L,NA,NA,NA,NA
S:T0:L-C_water:T0:L,NA,NA,NA,NA
C_air:T1:L-C_water:T0:L,NA,NA,NA,NA
C_water:T1:L-C_water:T0:L,NA,NA,NA,NA
C_air:T2:L-C_water:T0:L,NA,NA,NA,NA
C_water:T2:L-C_water:T0:L,NA,NA,NA,NA
M:T0:L-F:T0:L,NA,NA,NA,NA
S:T0:L-F:T0:L,NA,NA,NA,NA
C_air:T1:L-F:T0:L,NA,NA,NA,NA
C_water:T1:L-F:T0:L,NA,NA,NA,NA
F:T1:L-F:T0:L,NA,NA,NA,NA
M:T1:L-F:T0:L,NA,NA,NA,NA
S:T1:L-F:T0:L,NA,NA,NA,NA
C_air:T2:L-F:T0:L,NA,NA,NA,NA
C_water:T2:L-F:T0:L,NA,NA,NA,NA
F:T2:L-F:T0:L,NA,NA,NA,NA
M:T2:L-F:T0:L,NA,NA,NA,NA
S:T2:L-F:T0:L,NA,NA,NA,NA
S:T0:L-M:T0:L,NA,NA,NA,NA
C_air:T1:L-M:T0:L,NA,NA,NA,NA
C_water:T1:L-M:T0:L,NA,NA,NA,NA
F:T1:L-M:T0:L,NA,NA,NA,NA
M:T1:L-M:T0:L,NA,NA,NA,NA
S:T1:L-M:T0:L,NA,NA,NA,NA
C_air:T2:L-M:T0:L,NA,NA,NA,NA
C_water:T2:L-M:T0:L,NA,NA,NA,NA
F:T2:L-M:T0:L,NA,NA,NA,NA
M:T2:L-M:T0:L,NA,NA,NA,NA
S:T2:L-M:T0:L,NA,NA,NA,NA
C_air:T1:L-S:T0:L,NA,NA,NA,NA
C_water:T1:L-S:T0:L,NA,NA,NA,NA
F:T1:L-S:T0:L,NA,NA,NA,NA
M:T1:L-S:T0:L,NA,NA,NA,NA
S:T1:L-S:T0:L,NA,NA,NA,NA
C_air:T2:L-S:T0:L,NA,NA,NA,NA
C_water:T2:L-S:T0:L,NA,NA,NA,NA
F:T2:L-S:T0:L,NA,NA,NA,NA
M:T2:L-S:T0:L,NA,NA,NA,NA
S:T2:L-S:T0:L,NA,NA,NA,NA
C_water:T1:L-C_air:T1:L,NA,NA,NA,NA
F:T1:L-C_air:T1:L,NA,NA,NA,NA
M:T1:L-C_air:T1:L,NA,NA,NA,NA
S:T1:L-C_air:T1:L,NA,NA,NA,NA
C_air:T2:L-C_air:T1:L,NA,NA,NA,NA
C_water:T2:L-C_air:T1:L,NA,NA,NA,NA
F:T2:L-C_air:T1:L,NA,NA,NA,NA
M:T2:L-C_air:T1:L,NA,NA,NA,NA
S:T2:L-C_air:T1:L,NA,NA,NA,NA
F:T1:L-C_water:T1:L,NA,NA,NA,NA
M:T1:L-C_water:T1:L,NA,NA,NA,NA
S:T1:L-C_water:T1:L,NA,NA,NA,NA
C_air:T2:L-C_water:T1:L,NA,NA,NA,NA
C_water:T2:L-C_water:T1:L,NA,NA,NA,NA
F:T2:L-C_water:T1:L,NA,NA,NA,NA
M:T2:L-C_water:T1:L,NA,NA,NA,NA
S:T2:L-C_water:T1:L,NA,NA,NA,NA
C_air:T2:L-F:T1:L,NA,NA,NA,NA
C_water:T2:L-F:T1:L,NA,NA,NA,NA
C_air:T2:L-M:T1:L,NA,NA,NA,NA
C_water:T2:L-M:T1:L,NA,NA,NA,NA
C_air:T2:L-S:T1:L,NA,NA,NA,NA
C_water:T2:L-S:T1:L,NA,NA,NA,NA
C_water:T2:L-C_air:T2:L,NA,NA,NA,NA
F:T2:L-C_air:T2:L,NA,NA,NA,NA
M:T2:L-C_air:T2:L,NA,NA,NA,NA
S:T2:L-C_air:T2:L,NA,NA,NA,NA
F:T2:L-C_water:T2:L,NA,NA,NA,NA
M:T2:L-C_water:T2:L,NA,NA,NA,NA
S:T2:L-C_water:T2:L,NA,NA,NA,NA
